run_id,ingest_wall_clock,predict_wall_clock,latency_seconds,latency_hms,sensor_date,prediction_date,tier,probability
1,2026-04-20T03:27:10Z,2026-04-20T03:42:48Z,938.0,00:15:38,2026-04-20,2026-04-11,WATCH,0.1413
2,2026-04-20T04:10:31Z,2026-04-20T04:11:25Z,54.0,00:00:54,2026-05-19,2026-05-19,WATCH,0.1577
3,2026-04-20T04:38:27Z,2026-04-20T04:39:28Z,61.0,00:01:01,2026-05-19,2026-05-19,WATCH,0.1577
4,2026-04-20T05:27:12Z,2026-04-20T05:27:46Z,34.0,00:00:34,2026-04-20,2026-04-20,WATCH,0.1647
5,2026-04-20T07:10:19Z,2026-04-20T07:11:07Z,48.0,00:00:48,2026-04-20,2026-04-20,WATCH,0.1413
6,2026-04-20T07:20:04Z,2026-04-20T07:20:50Z,46.0,00:00:46,2026-04-20,2026-04-20,WATCH,0.1413
7,2026-04-20T07:21:40Z,2026-04-20T07:22:07Z,27.0,00:00:27,2026-04-20,2026-04-20,WATCH,0.1413
8,2026-04-20T07:22:47Z,2026-04-20T07:23:12Z,25.0,00:00:25,2026-04-20,2026-04-20,WATCH,0.1413
9,2026-04-20T07:24:35Z,2026-04-20T07:24:54Z,19.0,00:00:19,2026-04-20,2026-04-20,WATCH,0.1413
10,2026-04-20T07:29:15Z,2026-04-20T07:29:36Z,21.0,00:00:21,2026-04-20,2026-04-20,WATCH,0.1413
11,2026-04-20T07:30:14Z,2026-04-20T07:30:50Z,36.0,00:00:36,2026-04-20,2026-04-20,WATCH,0.1413
12,2026-04-20T07:31:13Z,2026-04-20T07:31:33Z,20.0,00:00:20,2026-04-20,2026-04-20,WATCH,0.1413
13,2026-04-20T07:34:04Z,2026-04-20T07:34:28Z,24.0,00:00:24,2026-04-20,2026-04-20,WATCH,0.1413
14,2026-04-20T10:45:39Z,2026-04-20T10:46:24Z,45.0,00:00:45,2026-04-20,2026-04-20,WATCH,0.1406
