model,split,threshold_level,threshold,precision,recall,f1,balanced_acc,roc_auc,specificity,alerts,val_auc,val_bal_acc,test_auc,test_bal_acc,feature_count,flood_weight,version,calibration_fold,calibration_method,danger_source,watch_warn_gap,warn_danger_gap,tier_gaps_ok,clear_miss_rate,clear_n_missed
XGBoost,full,CLEAR,0.01,0.0,0.0,0.0,0.5,0.9507,0.0,0,0.8595851379074538,0.8205303548362586,0.8756336822700639,0.7377049180327868,42,15.0,v3,val_set,isotonic,pkl,0.14,0.67,True,0.0,0
XGBoost,full,WATCH,0.01,0.1861,1.0,0.3137,0.5,0.9507,0.0,3300,0.8595851379074538,0.8205303548362586,0.8756336822700639,0.7377049180327868,42,15.0,v3,val_set,isotonic,pkl,0.14,0.67,True,,
XGBoost,full,WARNING,0.15,0.3836,0.9984,0.5542,0.8158,0.9507,0.6333,1598,0.8595851379074538,0.8205303548362586,0.8756336822700639,0.7377049180327868,42,15.0,v3,val_set,isotonic,pkl,0.14,0.67,True,,
XGBoost,full,DANGER,0.82,0.8292,0.7036,0.7612,0.8352,0.9507,0.9669,521,0.8595851379074538,0.8205303548362586,0.8756336822700639,0.7377049180327868,42,15.0,v3,val_set,isotonic,pkl,0.14,0.67,True,,
Random Forest,full,CLEAR,0.03,0.9994,0.6515,0.7888,0.8249,0.9464,0.6515,1751,0.8852100904186612,0.8660626092242231,0.8531173875831194,0.8142076502732241,42,15.0,v3,last_20pct_of_train,isotonic,pkl,0.08,0.08,True,0.0016,1
Random Forest,full,WATCH,0.03,0.3957,0.9984,0.5668,0.8249,0.9464,0.6515,1549,0.8852100904186612,0.8660626092242231,0.8531173875831194,0.8142076502732241,42,15.0,v3,last_20pct_of_train,isotonic,pkl,0.08,0.08,True,,
Random Forest,full,WARNING,0.11,0.4239,0.9935,0.5943,0.8424,0.9464,0.6914,1439,0.8852100904186612,0.8660626092242231,0.8531173875831194,0.8142076502732241,42,15.0,v3,last_20pct_of_train,isotonic,pkl,0.08,0.08,True,,
Random Forest,full,DANGER,0.19,0.8742,0.6792,0.7644,0.8284,0.9464,0.9777,477,0.8852100904186612,0.8660626092242231,0.8531173875831194,0.8142076502732241,42,15.0,v3,last_20pct_of_train,isotonic,pkl,0.08,0.08,True,,
LightGBM,full,CLEAR,0.03,0.9384,0.8797,0.9081,0.8137,0.8364,0.8797,2518,0.5575374211686042,0.5552579591216472,0.5916452696030021,0.5893080518796497,42,15.0,v3,last_20pct_of_train,isotonic,pkl,0.08,0.08,True,0.2524,155
LightGBM,full,WATCH,0.03,0.587,0.7476,0.6576,0.8137,0.8364,0.8797,782,0.5575374211686042,0.5552579591216472,0.5916452696030021,0.5893080518796497,42,15.0,v3,last_20pct_of_train,isotonic,pkl,0.08,0.08,True,,
LightGBM,full,WARNING,0.11,0.6472,0.741,0.691,0.8244,0.8364,0.9077,703,0.5575374211686042,0.5552579591216472,0.5916452696030021,0.5893080518796497,42,15.0,v3,last_20pct_of_train,isotonic,pkl,0.08,0.08,True,,
LightGBM,full,DANGER,0.19,0.6623,0.7378,0.698,0.8259,0.8364,0.914,684,0.5575374211686042,0.5552579591216472,0.5916452696030021,0.5893080518796497,42,15.0,v3,last_20pct_of_train,isotonic,pkl,0.08,0.08,True,,
